9 51 1830 1320 8 1333
256
272
148
220
218
100
204
270
268
244
55 55
23 23
33 33
24 24
27 27
52 52
35 35
49 49
46 46
85 85
54 54
80 80
91 91
25 25
22 22
35 35
14 14
25 25
18 18
24 24
4 4
15 15
23 23
34 34
60 60
65 65
58 58
33 33
30 30
12 12
8 8
68 68
11 11
10 10
11 11
17 17
20 20
14 14
17 17
33 33
46 46
38 38
13 13
20 20
23 23
65 65
22 22
6 6
18 18
65 65
100 100
   5   21  711
   5   22  897
   5   23  100
   5   24  384
   5   25  800
   5   26  532
   5   27  475
   5   28  501
   5   29  681
   5   30  437
   5   31  538
   5   32  125
   5   33  109
   5   34  516
   5   35  527
   5   36  417
   5   37  580
   5   38  690
   5   39  541
   5   40  371
   5   41  517
   5   42  267
   5   43  275
   5   44  271
   5   45  190
   5   46  155
   5   47  230
   5   48  188
   5   49  545
   5   50  950
   5   51  245
   5   52  307
   5   53  411
   5   54  231
   5   55  660
   5   56  137
   5   57  345
   5   58  478
   5   59  397
   5   60  909
   6    7  337
   6    8  435
   6    9  297
   6   10  724
   6   11  537
   6   12  384
   6   13  309
   6   14  329
   6   15  714
   6   16  661
   6   17  818
   6   18  764
   6   19  915
   6   20  538
   6   21  759
   6   22  884
   6   23  332
   6   24    0
   6   25  651
   6   26  408
   6   27  549
   6   28  165
   6   29  435
   6   30  297
   6   31  249
   6   32  278
   6   33  326
   6   34  506
   6   35  598
   6   36  526
   6   37  201
   6   38  337
   6   39  357
   6   40  331
   6   41  897
   6   42  211
   6   43  229
   6   44  243
   6   45  244
   6   46  284
   6   47  265
   6   48  282
   6   49  641
   6   50  640
   6   51  570
   6   52  132
   6   53  476
   6   54  156
   6   55  539
   6   56  262
   6   57  282
   6   58  130
   6   59  710
   6   60 1023
   7    8  242
   7    9  353
   7   10  390
   7   11  504
   7   12  690
   7   13  594
   7   14  624
   7   15  386
   7   16  759
   7   17  940
   7   18  912
   7   19 1251
   7   20  875
   7   21 1056
   7   22 1146
   7   23  612
   7   24  337
   7   25  492
   7   26  385
   7   27  633
   7   28  189
   7   29  242
   7   30  353
   7   31  179
   7   32  567
   7   33  654
   7   34  805
   7   35  912
   7   36  853
   7   37  260
   7   38    0
   7   39  305
   7   40  447
   7   41 1173
   7   42  439
   7   43  441
   7   44  453
   7   45  509
   7   46  552
   7   47  494
   7   48  532
   7   49  713
   7   50  315
   7   51  816
   7   52  383
   7   53  583
   7   54  481
   7   55  782
   7   56  553
   7   57  423
   7   58  215
   7   59 1044
   7   60 1330
   8    9  251
   8   10  392
   8   11  289
   8   12  681
   8   13  577
   8   14  612
   8   15  362
   8   16  580
   8   17  763
   8   18  751
   8   19 1314
   8   20  927
   8   21 1195
   8   22 1313
   8   23  586
   8   24  435
   8   25  253
   8   26  205
   8   27  461
   8   28  279
   8   29    0
   8   30  251
   8   31  187
   8   32  558
   8   33  685
   8   34  941
   8   35 1031
   8   36  952
   8   37  459
   8   38  242
   8   39  150
   8   40  340
   8   41 1098
   8   42  416
   8   43  406
   8   44  411
   8   45  492
   8   46  527
   8   47  453
   8   48  496
   8   49  525
   8   50  290
   8   51  733
   8   52  402
   8   53  433
   8   54  530
   8   55  958
   8   56  549
   8   57  344
   8   58  313
   8   59 1072
   8   60 1457
   9   10  636
   9   11  241
   9   12  437
   9   13  332
   9   14  368
   9   15  609
   9   16  415
   9   17  593
   9   18  560
   9   19 1086
   9   20  700
   9   21 1020
   9   22 1165
   9   23  339
   9   24  297
   9   25  383
   9   26  116
   9   27  290
   9   28  224
   9   29  251
   9   30    0
   9   31  175
   9   32  318
   9   33  455
   9   34  774
   9   35  844
   9   36  753
   9   37  429
   9   38  353
   9   39  104
   9   40   97
   9   41  853
   9   42  180
   9   43  165
   9   44  167
   9   45  251
   9   46  281
   9   47  206
   9   48  249
   9   49  378
   9   50  535
   9   51  488
   9   52  199
   9   53  233
   9   54  326
   9   55  832
   9   56  311
   9   57   94
   9   58  237
   9   59  832
   9   60 1266
  10   11  649
  10   12 1047
  10   13  945
  10   14  978
  10   15   45
  10   16  956
  10   17 1135
  10   18 1133
  10   19 1639
  10   20 1259
  10   21 1440
  10   22 1516
  10   23  958
  10   24  724
  10   25  495
  10   26  595
  10   27  843
  10   28  564
  10   29  392
  10   30  636
  10   31  510
  10   32  922
  10   33 1029
  10   34 1192
  10   35 1302
  10   36 1244
  10   37  635
  10   38  390
  10   39  541
  10   40  730
  10   41 1489
  10   42  782
  10   43  777
  10   44  785
  10   45  858
  10   46  897
  10   47  828
  10   48  870
  10   49  896
  10   50  103
  10   51 1124
  10   52  745
  10   53  823
  10   54  859
  10   55 1151
  10   56  910
  10   57  728
  10   58  596
  10   59 1422
  10   60 1716
  11   12  604
  11   13  509
  11   14  543
  11   15  611
  11   16  308
  11   17  486
  11   18  487
  11   19 1267
  11   20  891
  11   21 1248
  11   22 1400
  11   23  505
  11   24  537
  11   25  217
  11   26  135
  11   27  207
  11   28  441
  11   29  289
  11   30  241
  11   31  361
  11   32  506
  11   33  653
  11   34 1006
  11   35 1068
  11   36  970
  11   37  651
  11   38  504
  11   39  209
  11   40  245
  11   41  903
  11   42  394
  11   43  374
  11   44  368
  11   45  447
  11   46  462
  11   47  392
  11   48  427
  11   49  247
  11   50  550
  11   51  557
  11   52  434
  11   53  220
  11   54  553
  11   55 1072
  11   56  505
  11   57  288
  11   58  463
  11   59  995
  11   60 1484
  12   13  104
  12   14   70
  12   15 1026
  12   16  525
  12   17  611
  12   18  534
  12   19  663
  12   20  294
  12   21  711
  12   22  897
  12   23  100
  12   24  384
  12   25  800
  12   26  532
  12   27  475
  12   28  501
  12   29  681
  12   30  437
  12   31  538
  12   32  125
  12   33  109
  12   34  516
  12   35  527
  12   36  417
  12   37  580
  12   38  690
  12   39  541
  12   40  371
  12   41  517
  12   42  267
  12   43  275
  12   44  271
  12   45  190
  12   46  155
  12   47  230
  12   48  188
  12   49  545
  12   50  950
  12   51  245
  12   52  307
  12   53  411
  12   54  231
  12   55  660
  12   56  137
  12   57  345
  12   58  478
  12   59  397
  12   60  909
  13   14   35
  13   15  924
  13   16  471
  13   17  584
  13   18  513
  13   19  761
  13   20  382
  13   21  769
  13   22  944
  13   23   25
  13   24  309
  13   25  700
  13   26  430
  13   27  401
  13   28  407
  13   29  577
  13   30  332
  13   31  437
  13   32   32
  13   33  150
  13   34  552
  13   35  584
  13   36  479
  13   37  510
  13   38  594
  13   39  437
  13   40  270
  13   41  590
  13   42  163
  13   43  171
  13   44  166
  13   45   87
  13   46   51
  13   47  127
  13   48   85
  13   49  480
  13   50  848
  13   51  267
  13   52  212
  13   53  331
  13   54  171
  13   55  674
  13   56   47
  13   57  242
  13   58  387
  13   59  500
  13   60  984
  14   15  957
  14   16  492
  14   17  596
  14   18  523
  14   19  726
  14   20  349
  14   21  744
  14   22  923
  14   23   40
  14   24  329
  14   25  735
  14   26  466
  14   27  428
  14   28  435
  14   29  612
  14   30  368
  14   31  469
  14   32   57
  14   33  124
  14   34  533
  14   35  559
  14   36  452
  14   37  528
  14   38  624
  14   39  472
  14   40  305
  14   41  568
  14   42  197
  14   43  206
  14   44  201
  14   45  121
  14   46   86
  14   47  162
  14   48  120
  14   49  504
  14   50  881
  14   51  260
  14   52  241
  14   53  360
  14   54  182
  14   55  662
  14   56   71
  14   57  277
  14   58  414
  14   59  465
  14   60  955
  15   16  918
  15   17 1096
  15   18 1096
  15   19 1627
  15   20 1245
  15   21 1440
  15   22 1522
  15   23  935
  15   24  714
  15   25  451
  15   26  562
  15   27  807
  15   28  552
  15   29  362
  15   30  609
  15   31  491
  15   32  901
  15   33 1012
  15   34 1190
  15   35 1298
  15   36 1237
  15   37  637
  15   38  386
  15   39  512
  15   40  701
  15   41 1460
  15   42  760
  15   43  754
  15   44  762
  15   45  836
  15   46  875
  15   47  804
  15   48  847
  15   49  858
  15   50   76
  15   51 1095
  15   52  727
  15   53  789
  15   54  844
  15   55 1157
  15   56  890
  15   57  702
  15   58  585
  15   59 1405
  15   60 1715
  16   17  183
  16   18  180
  16   19 1145
  16   20  812
  16   21 1234
  16   22 1414
  16   23  453
  16   24  661
  16   25  507
  16   26  381
  16   27  126
  16   28  636
  16   29  580
  16   30  415
  16   31  587
  16   32  487
  16   33  616
  16   34 1023
  16   35 1049
  16   36  941
  16   37  831
  16   38  759
  16   39  457
  16   40  339
  16   41  645
  16   42  455
  16   43  435
  16   44  422
  16   45  461
  16   46  446
  16   47  414
  16   48  422
  16   49   64
  16   50  856
  16   51  359
  16   52  530
  16   53  187
  16   54  599
  16   55 1136
  16   56  495
  16   57  383
  16   58  644
  16   59  860
  16   60 1430
  17   18   83
  17   19 1166
  17   20  874
  17   21 1317
  17   22 1507
  17   23  561
  17   24  818
  17   25  670
  17   26  565
  17   27  308
  17   28  810
  17   29  763
  17   30  593
  17   31  767
  17   32  606
  17   33  714
  17   34 1126
  17   35 1135
  17   36 1024
  17   37  998
  17   38  940
  17   39  640
  17   40  510
  17   41  570
  17   42  607
  17   43  589
  17   44  575
  17   45  596
  17   46  572
  17   47  558
  17   48  555
  17   49  239
  17   50 1036
  17   51  390
  17   52  686
  17   53  361
  17   54  734
  17   55 1257
  17   56  618
  17   57  551
  17   58  815
  17   59  883
  17   60 1487
  18   19 1083
  18   20  792
  18   21 1237
  18   22 1428
  18   23  490
  18   24  764
  18   25  686
  18   26  548
  18   27  291
  18   28  770
  18   29  751
  18   30  560
  18   31  735
  18   32  538
  18   33  639
  18   34 1050
  18   35 1055
  18   36  945
  18   37  950
  18   38  912
  18   39  619
  18   40  471
  18   41  501
  18   42  552
  18   43  536
  18   44  521
  18   45  534
  18   46  506
  18   47  500
  18   48  492
  18   49  244
  18   50 1032
  18   51  308
  18   52  632
  18   53  329
  18   54  670
  18   55 1185
  18   56  550
  18   57  507
  18   58  772
  18   59  800
  18   60 1404
  19   20  387
  19   21  443
  19   22  620
  19   23  762
  19   24  915
  19   25 1461
  19   26 1190
  19   27 1124
  19   28 1076
  19   29 1314
  19   30 1086
  19   31 1144
  19   32  770
  19   33  631
  19   34  541
  19   35  417
  19   36  418
  19   37 1042
  19   38 1251
  19   39 1187
  19   40 1031
  19   41  706
  19   42  906
  19   43  920
  19   44  920
  19   45  835
  19   46  810
  19   47  885
  19   48  846
  19   49 1180
  19   50 1552
  19   51  789
  19   52  913
  19   53 1068
  19   54  787
  19   55  705
  19   56  775
  19   57 1000
  19   58 1043
  19   59  285
  19   60  399
  20   21  452
  20   22  653
  20   23  388
  20   24  538
  20   25 1078
  20   26  807
  20   27  769
  20   28  694
  20   29  927
  20   30  700
  20   31  758
  20   32  388
  20   33  245
  20   34  335
  20   35  283
  20   36  182
  20   37  688
  20   38  875
  20   39  800
  20   40  651
  20   41  584
  20   42  520
  20   43  535
  20   44  536
  20   45  451
  20   46  430
  20   47  503
  20   48  465
  20   49  836
  20   50 1170
  20   51  484
  20   52  526
  20   53  705
  20   54  401
  20   55  517
  20   56  391
  20   57  617
  20   58  663
  20   59  188
  20   60  619
  21   22  206
  21   23  784
  21   24  759
  21   25 1400
  21   26 1137
  21   27 1169
  21   28  920
  21   29 1195
  21   30 1020
  21   31 1008
  21   32  760
  21   33  620
  21   34  254
  21   35  185
  21   36  294
  21   37  805
  21   38 1056
  21   39 1104
  21   40 1004
  21   41 1010
  21   42  854
  21   43  874
  21   44  881
  21   45  807
  21   46  804
  21   47  863
  21   48  836
  21   49 1248
  21   50 1371
  21   51  931
  21   52  822
  21   53 1098
  21   54  696
  21   55  324
  21   56  756
  21   57  959
  21   58  885
  21   59  540
  21   60  279
  22   23  962
  22   24  884
  22   25 1534
  22   26 1281
  22   27 1341
  22   28 1035
  22   29 1313
  22   30 1165
  22   31 1127
  22   32  931
  22   33  799
  22   34  396
  22   35  374
  22   36  484
  22   37  887
  22   38 1146
  22   39 1239
  22   40 1161
  22   41 1216
  22   42 1010
  22   43 1031
  22   44 1039
  22   45  971
  22   46  975
  22   47 1026
  22   48 1004
  22   49 1423
  22   50 1457
  22   51 1125
  22   52  966
  22   53 1268
  22   54  849
  22   55  365
  22   56  925
  22   57 1114
  22   58 1000
  22   59  745
  22   60  319
  23   24  332
  23   25  700
  23   26  432
  23   27  388
  23   28  425
  23   29  586
  23   30  339
  23   31  451
  23   32   56
  23   33  164
  23   34  571
  23   35  599
  23   36  492
  23   37  533
  23   38  612
  23   39  443
  23   40  270
  23   41  569
  23   42  176
  23   43  181
  23   44  175
  23   45  103
  23   46   61
  23   47  133
  23   48   90
  23   49  464
  23   50  860
  23   51  242
  23   52  231
  23   53  320
  23   54  196
  23   55  696
  23   56   72
  23   57  246
  23   58  406
  23   59  497
  23   60  995
  24   25  651
  24   26  408
  24   27  549
  24   28  165
  24   29  435
  24   30  297
  24   31  249
  24   32  278
  24   33  326
  24   34  506
  24   35  598
  24   36  526
  24   37  201
  24   38  337
  24   39  357
  24   40  331
  24   41  897
  24   42  211
  24   43  229
  24   44  243
  24   45  244
  24   46  284
  24   47  265
  24   48  282
  24   49  641
  24   50  640
  24   51  570
  24   52  132
  24   53  476
  24   54  156
  24   55  539
  24   56  262
  24   57  282
  24   58  130
  24   59  710
  24   60 1023
  25   26  272
  25   27  421
  25   28  512
  25   29  253
  25   30  383
  25   31  418
  25   32  691
  25   33  834
  25   34 1149
  25   35 1226
  25   36 1136
  25   37  707
  25   38  492
  25   39  296
  25   40  430
  25   41 1120
  25   42  561
  25   43  545
  25   44  543
  25   45  627
  25   46  650
  25   47  576
  25   48  615
  25   49  443
  25   50  408
  25   51  773
  25   52  579
  25   53  437
  25   54  708
  25   55 1188
  25   56  687
  25   57  462
  25   58  544
  25   59 1197
  25   60 1649
  26   27  258
  26   28  306
  26   29  205
  26   30  116
  26   31  229
  26   32  420
  26   33  563
  26   34  890
  26   35  960
  26   36  867
  26   37  517
  26   38  385
  26   39   80
  26   40  163
  26   41  903
  26   42  290
  26   43  273
  26   44  271
  26   45  356
  26   46  380
  26   47  305
  26   48  345
  26   49  330
  26   50  493
  26   51  541
  26   52  315
  26   53  228
  26   54  441
  26   55  946
  26   56  416
  26   57  190
  26   58  329
  26   59  929
  26   60 1381
  27   28  512
  27   29  461
  27   30  290
  27   31  461
  27   32  410
  27   33  551
  27   34  945
  27   35  985
  27   36  879
  27   37  711
  27   38  633
  27   39  332
  27   40  220
  27   41  701
  27   42  351
  27   43  330
  27   44  318
  27   45  371
  27   46  366
  27   47  319
  27   48  336
  27   49   92
  27   50  742
  27   51  368
  27   52  420
  27   53   75
  27   54  504
  27   55 1045
  27   56  415
  27   57  267
  27   58  522
  27   59  843
  27   60 1382
  28   29  279
  28   30  224
  28   31   94
  28   32  378
  28   33  467
  28   34  666
  28   35  762
  28   36  691
  28   37  210
  28   38  189
  28   39  236
  28   40  300
  28   41  990
  28   42  257
  28   43  262
  28   44  275
  28   45  323
  28   46  366
  28   47  314
  28   48  348
  28   49  601
  28   50  477
  28   51  638
  28   52  194
  28   53  450
  28   54  295
  28   55  680
  28   56  365
  28   57  264
  28   58   35
  28   59  859
  28   60 1186
  29   30  251
  29   31  187
  29   32  558
  29   33  685
  29   34  941
  29   35 1031
  29   36  952
  29   37  459
  29   38  242
  29   39  150
  29   40  340
  29   41 1098
  29   42  416
  29   43  406
  29   44  411
  29   45  492
  29   46  527
  29   47  453
  29   48  496
  29   49  525
  29   50  290
  29   51  733
  29   52  402
  29   53  433
  29   54  530
  29   55  958
  29   56  549
  29   57  344
  29   58  313
  29   59 1072
  29   60 1457
  30   31  175
  30   32  318
  30   33  455
  30   34  774
  30   35  844
  30   36  753
  30   37  429
  30   38  353
  30   39  104
  30   40   97
  30   41  853
  30   42  180
  30   43  165
  30   44  167
  30   45  251
  30   46  281
  30   47  206
  30   48  249
  30   49  378
  30   50  535
  30   51  488
  30   52  199
  30   53  233
  30   54  326
  30   55  832
  30   56  311
  30   57   94
  30   58  237
  30   59  832
  30   60 1266
  31   32  412
  31   33  522
  31   34  754
  31   35  846
  31   36  770
  31   37  296
  31   38  179
  31   39  152
  31   40  267
  31   41 1002
  31   42  275
  31   43  273
  31   44  283
  31   45  349
  31   46  390
  31   47  326
  31   48  366
  31   49  545
  31   50  415
  31   51  641
  31   52  236
  31   53  407
  31   54  357
  31   55  774
  31   56  401
  31   57  244
  31   58  127
  31   59  914
  31   60 1271
  32   33  147
  32   34  537
  32   35  576
  32   36  472
  32   37  478
  32   38  567
  32   39  421
  32   40  263
  32   41  621
  32   42  142
  32   43  153
  32   44  151
  32   45   67
  32   46   45
  32   47  115
  32   48   79
  32   49  492
  32   50  825
  32   51  298
  32   52  184
  32   53  338
  32   54  140
  32   55  653
  32   56   16
  32   57  230
  32   58  358
  32   59  515
  32   60  982
  33   34  412
  33   35  435
  33   36  329
  33   37  509
  33   38  654
  33   39  556
  33   40  409
  33   41  606
  33   42  275
  33   43  290
  33   44  292
  33   45  207
  33   46  191
  33   47  261
  33   48  226
  33   49  628
  33   50  936
  33   51  354
  33   52  286
  33   53  481
  33   54  173
  33   55  551
  33   56  148
  33   57  373
  33   58  439
  33   59  393
  33   60  835
  34   35  126
  34   36  159
  34   37  559
  34   38  805
  34   39  853
  34   40  766
  34   41  917
  34   42  614
  34   43  635
  34   44  644
  34   45  576
  34   46  580
  34   47  630
  34   48  609
  34   49 1029
  34   50 1120
  34   51  756
  34   52  575
  34   53  872
  34   54  454
  34   55  186
  34   56  531
  34   57  719
  34   58  631
  34   59  496
  34   60  525
  35   36  110
  35   37  674
  35   38  912
  35   39  931
  35   40  823
  35   41  862
  35   42  674
  35   43  694
  35   44  700
  35   45  624
  35   46  620
  35   47  680
  35   48  653
  35   49 1063
  35   50 1226
  35   51  751
  35   52  647
  35   53  914
  35   54  519
  35   55  292
  35   56  572
  35   57  779
  35   58  726
  35   59  410
  35   60  426
  36   37  630
  36   38  853
  36   39  844
  36   40  725
  36   41  767
  36   42  579
  36   43  598
  36   44  603
  36   45  524
  36   46  517
  36   47  580
  36   48  550
  36   49  956
  36   50 1163
  36   51  641
  36   52  559
  36   53  809
  36   54  429
  36   55  344
  36   56  470
  36   57  683
  36   58  656
  36   59  337
  36   60  514
  37   38  260
  37   39  445
  37   40  492
  37   41 1096
  37   42  402
  37   43  416
  37   44  431
  37   45  444
  37   46  484
  37   47  459
  37   48  481
  37   49  802
  37   50  571
  37   51  771
  37   52  322
  37   53  644
  37   54  349
  37   55  523
  37   56  462
  37   57  448
  37   58  191
  37   59  871
  37   60 1082
  38   39  305
  38   40  447
  38   41 1173
  38   42  439
  38   43  441
  38   44  453
  38   45  509
  38   46  552
  38   47  494
  38   48  532
  38   49  713
  38   50  315
  38   51  816
  38   52  383
  38   53  583
  38   54  481
  38   55  782
  38   56  553
  38   57  423
  38   58  215
  38   59 1044
  38   60 1330
  39   40  190
  39   41  948
  39   42  281
  39   43  268
  39   44  271
  39   45  354
  39   46  386
  39   47  310
  39   48  353
  39   49  409
  39   50  439
  39   51  583
  39   52  285
  39   53  293
  39   54  416
  39   55  896
  39   56  414
  39   57  198
  39   58  262
  39   59  936
  39   60 1356
  40   41  759
  40   42  151
  40   43  130
  40   44  123
  40   45  203
  40   46  221
  40   47  148
  40   48  186
  40   49  311
  40   50  628
  40   51  394
  40   52  207
  40   53  151
  40   54  312
  40   55  845
  40   56  261
  40   57   50
  40   58  306
  40   59  767
  40   60 1238
  41   42  734
  41   43  732
  41   44  720
  41   45  669
  41   46  625
  41   47  679
  41   48  642
  41   49  704
  41   50 1387
  41   51  365
  41   52  799
  41   53  688
  41   54  747
  41   55 1095
  41   56  636
  41   57  764
  41   58  974
  41   59  475
  41   60 1089
  42   43   21
  42   44   34
  42   45   76
  42   46  115
  42   47   59
  42   48   92
  42   49  442
  42   50  684
  42   51  382
  42   52   80
  42   53  276
  42   54  161
  42   55  697
  42   56  133
  42   57  105
  42   58  244
  42   59  656
  42   60 1093
  43   44   15
  43   45   86
  43   46  121
  43   47   53
  43   48   93
  43   49  421
  43   50  678
  43   51  376
  43   52   96
  43   53  256
  43   54  182
  43   55  718
  43   56  146
  43   57   85
  43   58  252
  43   59  668
  43   60 1112
  44   45   85
  44   46  115
  44   47   43
  44   48   85
  44   49  408
  44   50  686
  44   51  364
  44   52  111
  44   53  243
  44   54  191
  44   55  730
  44   56  145
  44   57   81
  44   58  266
  44   59  665
  44   60 1116
  45   46   43
  45   47   56
  45   48   41
  45   49  458
  45   50  760
  45   51  327
  45   52  130
  45   53  297
  45   54  139
  45   55  676
  45   56   60
  45   57  166
  45   58  305
  45   59  581
  45   60 1036
  46   47   76
  46   48   35
  46   49  449
  46   50  799
  46   51  286
  46   52  173
  46   53  294
  46   54  164
  46   55  691
  46   56   49
  46   57  191
  46   58  348
  46   59  551
  46   60 1026
  47   48   43
  47   49  407
  47   50  729
  47   51  324
  47   52  136
  47   53  244
  47   54  186
  47   55  726
  47   56  113
  47   57  115
  47   58  302
  47   59  626
  47   60 1092
  48   49  421
  48   50  771
  48   51  293
  48   52  162
  48   53  263
  48   54  179
  48   55  714
  48   56   81
  48   57  157
  48   58  334
  48   59  585
  48   60 1060
  49   50  796
  49   51  402
  49   52  512
  49   53  166
  49   54  593
  49   55 1133
  49   56  499
  49   57  359
  49   58  612
  49   59  896
  49   60 1453
  50   51 1022
  50   52  651
  50   53  721
  50   54  769
  50   55 1093
  50   56  814
  50   57  627
  50   58  510
  50   59 1329
  50   60 1645
  51   52  455
  51   53  337
  51   54  437
  51   55  904
  51   56  313
  51   57  400
  51   58  626
  51   59  504
  51   60 1097
  52   53  347
  52   54  131
  52   55  640
  52   56  170
  52   57  157
  52   58  175
  52   59  678
  52   60 1071
  53   54  430
  53   55  970
  53   56  343
  53   57  196
  53   58  457
  53   59  790
  53   60 1315
  54   55  540
  54   56  125
  54   57  265
  54   58  266
  54   59  564
  54   60  941
  55   56  642
  55   57  796
  55   58  646
  55   59  682
  55   60  598
  56   57  225
  56   58  343
  56   59  523
  56   60  980
  57   58  265
  57   59  742
  57   60 1197
  58   59  830
  58   60 1151
  59   60  625
